"","syndate","煤炭开采和洗选业","石油和天然气开采业","黑色金属矿采选业","有色金属矿采选业","非金属矿采选业","农副食品加工业","食品制造业","酒、饮料和精制茶制造业","烟草制品业","纺织业","纺织服装、服饰业","木材加工及木、竹、藤、棕、草制品业","造纸及纸制品业","印刷业和记录媒介的复制","石油、煤炭及其他燃料加工业","化学原料及化学制品制造业","医药制造业","化学纤维制造业","橡胶和塑料制品业","非金属矿物制品业","黑色金属冶炼及压延加工业","有色金属冶炼及压延加工业","金属制品业","通用设备制造业","专用设备制造业","汽车制造业","铁路、船舶、航空航天和其他运输设备制造业","电气机械及器材制造业","计算机、通信和其他电子设备制造业"
"9",2014-04-30,2125.95172600783,163.938167706114,1418.36161407082,9.47709760508224,174.013990163303,1033.58079538448,863.276651771332,233.437767232113,-235.621113782609,267.381025421753,-33.1802996427286,333.509460085061,630.316724561162,195.130917135488,414.027443062936,4162.32649918416,1089.85091905763,-748.701222307987,1352.56710870872,800.188914684695,973.094878538104,2551.65128337505,-133.813938292369,1352.82212006839,1424.15070870702,-1060.52141129485,649.974590442849,-1068.81142783264,5794.6534433295
"10",2014-05-31,1529.29308992083,510.348937813225,1355.82423545958,-82.8008974774275,146.032637608521,-1945.88013302462,844.934261667622,84.1518673179089,-296.242696729989,-447.084778411692,-519.675271100146,16.5434119279089,588.374579401861,115.071831643527,-630.050707067974,2601.25469377992,1354.6629160654,-682.567848868195,523.509235985839,466.756726269727,-3659.63426142966,1599.83522438139,-323.763635000098,208.812004106381,-101.941517269908,-1111.90522681992,1194.85830202144,-2543.63453515823,4128.14458775657
"11",2014-06-30,993.009920065379,803.865102179911,1197.3930694383,-66.1324844839,107.664120464331,-5291.05714313063,737.980795896132,-117.734648809565,-285.621396304105,-1080.4784361473,-833.82664566637,-288.548898460132,293.797235303442,62.1378228184258,-1906.2813490312,1095.44317070628,1400.38903187239,-375.041486693095,-339.191999745701,86.4717575519462,-7697.03231863189,126.792642594868,-681.170175512714,-1082.8629355336,-1786.90227148012,25.1893453071243,1697.07001584156,-3403.77675932011,1559.37640101078
"12",2014-07-31,863.73992048137,975.440872316547,1024.8851900522,76.1047078282936,42.4120973859426,-8049.6503858628,511.193837113402,-340.828975641096,-200.529678263265,-1439.87463073636,-937.514922707516,-521.599235342961,-78.4031687704701,-13.8372490778529,-2920.48165926174,139.19553279609,1338.33797031034,-21.0313483168648,-996.519696733216,-328.677080783789,-10241.2507761961,-1460.31395404841,-1111.53898624265,-2285.39967450814,-3322.64768336964,1680.21637153125,5909.15964641683,-3797.64052259596,-376.980059779511
"13",2014-08-31,967.558405349788,1031.53311834534,818.847665578462,252.014012266103,-58.9102060839177,-9976.50705271889,209.782971033892,-570.263573179822,-24.5078433080998,-1641.18022530439,-936.920294766838,-676.833934512695,-359.089189907041,-129.993784712635,-3308.21470066826,-183.977643156541,1331.22125201295,123.610527753954,-1326.93734459994,-857.570585226786,-11398.7408538488,-2686.55938729603,-1488.14186080401,-3285.30547365919,-4443.76955728384,3012.11871989077,4969.87791158145,-4140.8542359214,-1388.27572178096
"14",2014-09-30,913.624361650451,1067.39069208982,582.913268960838,372.417914272195,-181.767352573699,-11280.7977311894,-118.837773752879,-770.159224396513,219.622831844681,-1876.65997812644,-980.536184883924,-746.718034154415,-497.008827105245,-282.268255960313,-3004.30538386309,-247.153549529961,1378.43646178456,54.875091109112,-1378.10940625732,-1498.40083853112,-11580.5124059554,-3123.4829058772,-1635.14114597526,-4037.82350365614,-4954.31498664533,3547.00106362932,-551.467026285165,-4663.41511523072,-1603.90869433363
"15",2014-10-31,409.856706742416,1157.56836227527,386.329709396879,417.381891841465,-275.590014501566,-12273.3153499739,-406.523699886638,-915.272851243863,467.627937499277,-2224.29795092685,-1110.7405976037,-739.986653809523,-464.27705371903,-426.371179825554,-2210.6542989326,-205.812272941985,1406.5622789526,-8.19904845977726,-1293.4190516455,-1981.98303830737,-10750.1366164682,-2684.01349147176,-1431.47541371569,-4350.22347948156,-4907.41651512406,3012.1131077219,225.776923489488,-5323.87456947536,-1186.63444185146
"16",2014-11-30,-477.447570588571,1322.55486322254,247.302154424091,446.211111713703,-307.769303863792,-13187.4682896692,-557.630504441157,-956.180134613009,633.733747025693,-2552.36301537108,-1346.57125716175,-662.649775421596,-246.6113480735,-501.145055015055,-1379.95946080665,-73.6541560501209,1313.28979407188,176.864356976941,-1159.35670929328,-2044.14111772791,-8673.50872158696,-1523.22585233056,-887.522208621216,-4084.51726194785,-4704.2596863074,1813.39849789382,918.14639896412,-5746.68538516946,71.4648876292049
"17",2014-12-31,-1337.19958898163,1465.36707110734,168.711458984668,583.66699692918,-274.174963037345,-13949.9614267917,-579.897900620585,-890.895565135084,648.076181193956,-2770.96292122442,-1563.81171997906,-538.860683220744,42.1730452122138,-507.693390222637,-996.165581471636,311.443040113139,1039.61128875667,544.491083477144,-1051.15562485135,-1779.79638116524,-5269.52490167442,34.1338099769491,-135.999770378519,-3579.39378205876,-4518.43706112966,859.723143533512,1424.25331654584,-5842.31931770954,1935.66431783728
"18",2015-01-31,-1752.52100769601,1518.51711052575,221.874802931823,885.071523722199,-201.707883274868,-14333.7139576633,-589.214485723642,-787.786278711908,495.910204542775,-2941.77588704738,-1699.90055659164,-422.259127836485,246.197667442109,-510.308558055669,-1286.92249032069,775.060037017683,683.448953287909,810.447577569888,-1113.3738218681,-1176.51663564678,-1221.46104748169,1576.10184229631,577.48978372835,-3153.90819713083,-4363.72825086664,414.82045673547,1620.33517824736,-5911.42488842556,3891.49800682353
