,syndate,????????,?????????,????????,????????,???????,???????,?????,???????????,?????,???,????????,?????????????????,???????,???????????,?????????????,????????????,?????,???????,????????,????????,????????????,????????????,?????,???????,???????,?????,????????????????????,??????????,????????????????,????????????,????????,????????
14,9/30/2014,-59899.07022,35613.77754,-43379.27812,24071.07938,-19404.53478,-1037965.228,-31532.26722,-82266.73442,24623.67703,-230141.1927,-105222.3457,-74562.41318,-41200.68641,-24840.19149,-623524.2956,-123485.1347,161393.79,28050.09571,-174742.6136,-221058.5205,-922773.6758,-224627.3232,-145356.2173,-418612.1898,-495369.98,335487.6459,-54291.11926,-479621.5893,-86160.20678,,,
15,10/31/2014,-142439.9061,26774.67666,-63010.64761,33307.71444,-29458.53054,-1123008.828,-60299.60013,-100146.5413,19795.27387,-271770.8136,-112401.0221,-72999.94977,-42922.16466,-42223.13926,-683261.9462,-262243.6981,167992.4915,20746.48452,-173946.493,-279043.9873,-969848.6394,-253580.1209,-125932.9701,-450129.3029,-490348.8285,280111.1947,24405.58422,-537255.2066,-75233.01815,,,
16,11/30/2014,-241938.9657,7277.183693,-79554.35381,44502.22488,-34103.23723,-1227281.122,-76976.209,-109170.476,13244.49018,-316175.7892,-129470.8018,-65768.95759,-30192.18518,-51479.30793,-773376.4018,-443262.9813,156891.2332,4783.64822,-174652.6894,-305550.1067,-938182.8311,-246854.1861,-85289.74676,-428207.4074,-469564.1699,157392.7703,95049.21444,-567133.9534,-6023.412003,,,
17,12/31/2014,-314365.3828,-18768.25886,-93699.90836,58543.25242,-32474.79998,-1327969.738,-81599.50726,-107080.35,1116.834534,-356383.7748,-140163.4526,-56508.02943,-12139.55733,-52120.20557,-882659.5756,-603684.6457,122498.1897,-11381.92254,-184185.7667,-294761.6883,-888426.7299,-196744.2256,-30471.9771,-387554.8977,-450912.4069,57700.80654,146799.8067,-568244.9493,124753.4341,,,
18,1/31/2015,-324200.0352,-45420.02015,-107134.919,72384.36614,-26399.36602,-1389274.014,-84305.21397,-99134.8719,-16094.21846,-390944.2596,-140500.7981,-49480.40745,-222.2332793,-51473.80201,-973328.8993,-698373.0822,78908.1216,-20408.59776,-210813.027,-241806.8608,-875528.9089,-112639.0797,22513.17056,-357606.7771,-435939.4787,7691.240801,166315.8962,-574677.0395,292571.8834,,,
19,2/28/2015,-276720.9,-66303.14761,-127661.4957,82863.56656,-19137.31035,-1405783.179,-82302.90238,-88223.84095,-34184.47588,-412040.5081,-140652.5666,-45533.4318,-5258.530188,-51087.22436,-1012403.557,-723641.3277,39239.45362,-18582.00476,-251019.2038,-164955.952,-945099.8089,-11184.48102,52783.13405,-348768.3486,-421947.7228,-2282.200598,143633.2929,-564745.0892,471959.5024,,,
20,3/31/2015,-211412.3565,-77353.57384,-154703.2936,87418.26302,-15610.70624,-1374733.078,-68424.78649,-78822.56203,-50087.094,-403196.4202,-140942.4989,-42983.26777,-28331.6985,-50667.86801,-978312.2529,-658282.9874,-2468.772628,-6423.775376,-285763.0957,-92015.82098,-1039963.368,91779.84037,52086.67265,-363977.4779,-410525.5427,-21060.65866,93647.35162,-491947.0246,603347.5195,,,
21,4/30/2015,-167345.552,-76433.17958,-184103.4857,85187.45656,-17910.21031,-1269060.695,-47709.10495,-72220.69579,-62738.0633,-354763.8192,-126091.9237,-43399.90448,-60322.43759,-49030.72361,-876656.6637,-528274.1251,-48505.57293,15207.49438,-299897.2979,-55409.56256,-1071238.067,180447.813,40265.90343,-372674.2349,-400863.8387,-88602.57102,39441.47086,-384044.308,705833.2298,,,
22,5/31/2015,-169340.3169,-65255.22794,-208600.3048,76774.96443,-23315.81162,-1073456.46,-32882.87041,-72431.9599,-67862.56841,-280718.0882,-96372.1216,-45069.62341,-71928.80893,-51504.26009,-729435.6418,-424452.0507,-97593.1113,42374.12902,-283495.4604,-57530.77831,-1017656.383,252521.0262,32486.88707,-349366.4239,-397525.2928,-217358.801,-2335.109945,-278951.4977,747504.773,,,
23,6/30/2015,-216541.7649,-49590.88473,-222567.7217,64127.89644,-28836.17709,-848264.0632,-30895.2734,-84337.91673,-56302.87674,-224489.1801,-65034.48636,-48327.65622,-52136.29365,-58702.2326,-573285.4871,-421285.1444,-141435.4478,73623.56224,-250302.952,-92920.78893,-932450.1162,301818.8072,21806.42624,-318510.2077,-394477.956,-425616.407,-21897.55075,-208805.2788,605274.5419,,,
